technology,new_build,tonnes,plant_capacity,capex_usd,opex_usd_year,cost_per_tonne_abated,abatement_tech_sector,uid,year,region,gics_sector
Process Electrification,False,79474,79474,0.0,6224403.68,78.32,Materials,C010,2029,India,Healthcare
EV Fleet Transition,False,22440,22440,0.0,2615830.8,116.57,Consumer Discretionary,C010,2029,India,Healthcare
Smart Grid Tech,False,14772,21778,0.0,907887.12,61.46,Utilities,C010,2029,India,Healthcare
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C010,2030,India,Healthcare
Carbon Capture and Storage,False,431424,431424,0.0,37214634.24,86.26,Energy,C010,2030,India,Healthcare
Hydrogen Fuel,False,77204,77204,0.0,11626150.36,150.59,Materials,C010,2030,India,Healthcare
Grid-scale Battery Storage,False,155530,155530,0.0,14097239.2,90.64,Utilities,C010,2030,India,Healthcare
Heat Pumps,False,21608,21608,0.0,759089.04,35.13,Consumer Discretionary,C010,2030,India,Healthcare
Electrification of Equipment,False,27128,27128,0.0,1779325.52,65.59,Industrials,C010,2030,India,Healthcare
Wind Power,False,180374,180374,0.0,6055155.18,33.57,Energy,C010,2030,India,Healthcare
Process Electrification,False,79474,79474,0.0,6224403.68,78.32,Materials,C010,2030,India,Healthcare
EV Fleet Transition,False,22440,22440,0.0,2615830.8,116.57,Consumer Discretionary,C010,2030,India,Healthcare
Smart Grid Tech,False,14772,21778,0.0,907887.12,61.46,Utilities,C010,2030,India,Healthcare
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C011,2026,Unknown,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C011,2026,Unknown,Materials
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C011,2027,Unknown,Materials
Process Electrification,False,39737,39737,0.0,3112201.84,78.32,Materials,C011,2027,Unknown,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C011,2027,Unknown,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C011,2027,Unknown,Materials
Hydrogen Fuel,False,77204,77204,0.0,11626150.36,150.59,Materials,C011,2028,Unknown,Materials
Process Electrification,False,79474,79474,0.0,6224403.68,78.32,Materials,C011,2028,Unknown,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C011,2028,Unknown,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C011,2028,Unknown,Materials
Hydrogen Fuel,False,115806,115806,0.0,17439225.54,150.59,Materials,C011,2029,Unknown,Materials
Process Electrification,False,119211,119211,0.0,9336605.52,78.32,Materials,C011,2029,Unknown,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C011,2029,Unknown,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C011,2029,Unknown,Materials
Hydrogen Fuel,False,154408,154408,0.0,23252300.72,150.59,Materials,C011,2030,Unknown,Materials
Process Electrification,False,158948,158948,0.0,12448807.36,78.32,Materials,C011,2030,Unknown,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C011,2030,Unknown,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C011,2030,Unknown,Materials
Energy Efficiency Upgrades,True,12244,39466,77400000.0,575835.3200000001,2008.2117767192012,Industrials,C012,2026,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2027,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2028,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2029,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2030,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2031,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2032,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2033,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2034,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2035,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2036,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2037,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2038,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2039,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2040,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2041,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2042,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2043,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2044,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2045,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2046,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2047,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2048,Brazil,Financials
Energy Efficiency Upgrades,False,12243,39466,0.0,575788.29,47.03,Industrials,C012,2049,Brazil,Financials
Energy Efficiency Upgrades,False,12244,39466,0.0,575835.3200000001,47.03000000000001,Industrials,C012,2050,Brazil,Financials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C013,2026,UK,Financials
Carbon Capture and Storage,True,158774,215712,453420000.0,13695845.24,2188.2292923898535,Energy,C013,2026,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2027,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2027,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2028,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2028,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2029,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2029,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2030,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2030,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2031,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2031,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2032,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2032,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2033,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2033,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2034,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2034,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2035,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2035,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2036,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2036,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2037,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2037,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2038,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2038,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2039,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2039,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2040,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2040,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2041,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2041,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2042,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2042,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2043,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2043,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2044,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2044,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2045,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2045,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2046,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2046,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2047,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2047,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2048,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2048,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2049,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2049,UK,Financials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C013,2050,UK,Financials
Carbon Capture and Storage,False,158774,215712,0.0,13695845.24,86.26,Energy,C013,2050,UK,Financials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C014,2026,USA,IT
Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,2188.2292923898535,Energy,C014,2026,USA,IT
Hydrogen Fuel,True,15148,38602,121710000.0,2281137.32,3303.535443241283,Materials,C014,2026,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2027,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2027,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2027,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2028,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2028,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2028,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2029,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2029,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2029,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2030,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2030,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2030,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2031,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2031,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2031,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2032,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2032,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2032,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2033,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2033,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2033,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2034,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2034,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2034,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2035,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2035,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2035,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2036,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2036,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2036,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2037,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2037,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2037,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2038,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2038,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2038,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2039,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2039,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2039,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2040,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2040,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2040,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2041,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2041,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2041,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2042,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2042,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2042,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2043,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2043,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2043,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2044,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2044,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2044,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2045,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2045,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2045,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2046,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2046,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2046,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2047,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2047,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2047,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2048,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2048,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2048,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2049,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2049,USA,IT
Hydrogen Fuel,False,15149,38602,0.0,2281287.91,150.59,Materials,C014,2049,USA,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C014,2050,USA,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C014,2050,USA,IT
Hydrogen Fuel,False,15148,38602,0.0,2281137.32,150.58999999999997,Materials,C014,2050,USA,IT
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C015,2026,Australia,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C015,2026,Australia,Industrials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C015,2027,Australia,Industrials
Electrification of Equipment,False,13564,13564,0.0,889662.76,65.59,Industrials,C015,2027,Australia,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C015,2027,Australia,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C015,2027,Australia,Industrials
Energy Efficiency Upgrades,False,78932,78932,0.0,3712171.96,47.03,Industrials,C015,2028,Australia,Industrials
Electrification of Equipment,False,27128,27128,0.0,1779325.52,65.59,Industrials,C015,2028,Australia,Industrials
Energy Efficiency Upgrades,True,20176,39466,77400000.0,948877.28,2008.2117767192012,Industrials,C015,2028,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2029,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2029,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2030,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2030,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2031,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2031,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2032,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2032,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2033,Australia,Industrials
Electrification of Equipment,False,7838,27128,0.0,514094.42000000004,65.59,Industrials,C015,2033,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2034,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2034,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2035,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2035,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2036,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2036,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2037,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2037,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2038,Australia,Industrials
Electrification of Equipment,False,7838,27128,0.0,514094.42000000004,65.59,Industrials,C015,2038,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2039,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2039,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2040,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2040,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2041,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2041,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2042,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2042,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2043,Australia,Industrials
Electrification of Equipment,False,7838,27128,0.0,514094.42000000004,65.59,Industrials,C015,2043,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2044,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2044,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2045,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2045,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2046,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2046,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2047,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2047,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2048,Australia,Industrials
Electrification of Equipment,False,7838,27128,0.0,514094.42000000004,65.59,Industrials,C015,2048,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2049,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2049,Australia,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C015,2050,Australia,Industrials
Electrification of Equipment,False,7837,27128,0.0,514028.83,65.59,Industrials,C015,2050,Australia,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C017,2026,Germany,IT
Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,2188.2292923898535,Energy,C017,2026,Germany,IT
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C017,2026,Germany,IT
Grid-scale Battery Storage,True,73964,77765,255810000.0,6704096.96,3380.1661364367,Utilities,C017,2026,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2027,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2027,Germany,IT
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C017,2027,Germany,IT
Grid-scale Battery Storage,False,73964,77765,0.0,6704096.96,90.64,Utilities,C017,2027,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2028,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2028,Germany,IT
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C017,2028,Germany,IT
Grid-scale Battery Storage,False,73964,77765,0.0,6704096.96,90.64,Utilities,C017,2028,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2029,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2029,Germany,IT
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C017,2029,Germany,IT
Grid-scale Battery Storage,False,73964,77765,0.0,6704096.96,90.64,Utilities,C017,2029,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2030,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2030,Germany,IT
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C017,2030,Germany,IT
Grid-scale Battery Storage,False,73964,77765,0.0,6704096.96,90.64,Utilities,C017,2030,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2031,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2031,Germany,IT
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C017,2031,Germany,IT
Grid-scale Battery Storage,False,73964,77765,0.0,6704096.96,90.64,Utilities,C017,2031,Germany,IT
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C017,2032,Germany,IT
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C017,2032,Germany,IT
