uid,scenario,year,carbon_cost_without_usd,total_cost_with_abatement_usd,net_savings_usd
C003,Medium Risk,2036,4447777714.149482,14376070895.064219,-9928293180.914738
C003,High Risk,2037,9569220809.927164,20343221180.093636,-10774000370.166471
C003,Low Risk,2037,3139557662.2126384,13989888424.565796,-10850330762.353157
C003,Medium Risk,2037,4556452058.944225,15389962017.080276,-10833509958.136051
C003,High Risk,2038,10125644928.31533,21798478404.480034,-11672833476.164703
C003,Low Risk,2038,3151145633.080016,14908059732.795807,-11756914099.71579
C003,Medium Risk,2038,4659773221.56002,16398500159.305285,-11738726937.745264
C003,High Risk,2039,10660309915.08585,23231975617.674675,-12571665702.588825
C003,Low Risk,2039,3160890934.1821103,15824388097.533163,-12663497163.351053
C003,Medium Risk,2039,4757740407.457354,17401683920.036037,-12643943512.578684
C003,High Risk,2040,11173216588.800064,24643714957.600063,-13470498368.8
C003,Low Risk,2040,3168793834.0800147,16738874197.930014,-13570080363.849998
C003,Medium Risk,2040,4850354006.399992,18399514296.19999,-13549160289.799997
C003,High Risk,2041,11664364949.457645,26033695984.468822,-14369331035.011177
C003,Low Risk,2041,3174854332.773688,17651517897.122635,-14476663564.348948
C003,Medium Risk,2041,4937614018.387893,19391991085.40921,-14454377067.021317
C003,High Risk,2042,12133754997.058916,27401918698.281265,-15268163701.22235
C003,Low Risk,2042,3179072430.2631707,18562319195.111065,-15383246764.847895
C003,Medium Risk,2042,5019520443.421057,20379114287.66369,-15359593844.242632
C003,High Risk,2043,12581387916.24238,28748384875.995323,-16166996959.752943
C003,Low Risk,2043,3181448426.107371,19471278541.233685,-16289830115.126314
C003,Medium Risk,2043,5096073761.335799,21360884622.717903,-16264810861.382103
C003,High Risk,2044,13007261398.743494,30073090432.3882,-17065829033.644705
C003,Low Risk,2044,3181981726.3547482,20378394892.20054,-17196413165.84579
C003,Medium Risk,2044,5167273027.471595,22337300426.156857,-17170027398.68526
C003,High Risk,2045,13411376568.18829,31376038268.044174,-17964661699.855885
C003,Low Risk,2045,3180672625.397896,21283668991.742634,-18102996366.344738
C003,Medium Risk,2045,5233118706.652616,23308362882.559196,-18075244175.90658
C003,High Risk,2046,13793733424.576464,32657227790.643524,-18863494366.067062
C003,Low Risk,2046,3177521123.236852,22187100690.080536,-19009579566.843685
C003,Medium Risk,2046,5293610798.878937,24274071752.00683,-18980460953.12789
C003,High Risk,2047,14154331967.908314,33916659000.186546,-19762327032.278233
C003,Low Risk,2047,3172527219.871579,23088689987.21421,-19916162767.342632
C003,Medium Risk,2047,5348749304.150521,25234427034.499733,-19885677730.349213
C003,High Risk,2048,14493173687.88708,35154334131.22826,-20661160443.34118
C003,Low Risk,2048,3165691240.69264,23988437371.229485,-20822746130.536846
C003,Medium Risk,2048,5398534777.364211,26189429562.38316,-20790894785.018948
C003,High Risk,2049,14810255666.118788,36370248030.819374,-21559992364.700584
C003,Low Risk,2049,3157012540.0852795,24886341708.425804,-21729329168.340523
C003,Medium Risk,2049,5442966123.738427,27139077408.530266,-21696111284.79184
C003,High Risk,2050,15105579331.294163,37564404362.205925,-22458825030.911762
C003,Low Risk,2050,3146491438.273691,25782403807.113167,-22635912368.839478
C003,Medium Risk,2050,5482043883.157906,28083371945.171062,-22601328062.013157
C003,High Risk,2025,1191179094.873631,1191179094.873631,0.0
C003,Low Risk,2025,2847679075.7794905,2847679075.7794905,0.0
C003,Medium Risk,2025,2889769472.388184,2889769472.388184,0.0
C003,High Risk,2026,2029437474.937667,2916278516.781196,-886841041.8435292
C003,Low Risk,2026,2914797382.423688,3792712939.2884245,-877915556.8647366
C003,Medium Risk,2026,3092370412.447879,3968495821.149458,-876125408.7015791
C003,High Risk,2027,2863593574.8069973,4649267282.861704,-1785673708.0547066
C003,Low Risk,2027,2979907686.498963,4764406443.862647,-1784498757.3636842
C003,Medium Risk,2027,3292392121.7463074,5073734307.669203,-1781342185.9228954
C003,High Risk,2028,3691206149.5741744,6375712658.562408,-2684506508.988234
C003,Low Risk,2028,3042126126.8089495,5733208195.703686,-2691082068.8947363
C003,Medium Risk,2028,3488593800.986315,6175152891.457893,-2686559090.4715786
C003,High Risk,2029,4508609317.062917,8091948357.539976,-3583339040.4770594
C003,Low Risk,2029,3100226843.5510664,6697892001.912645,-3597665158.361579
C003,Medium Risk,2029,3679208054.7686906,7270983795.134217,-3591775740.3655267
C003,High Risk,2030,5310456879.264799,9792628585.953033,-4482171706.688234
C003,Low Risk,2030,3152557167.6805267,7656805526.541054,-4504248358.860527
C003,Medium Risk,2030,3861785073.6868563,8358777591.273699,-4496992517.586843
C003,High Risk,2031,6089251622.46413,11470255995.36354,-5381004372.89941
C003,Low Risk,2031,3196982322.2710648,8607813881.630539,-5410831559.359474
C003,Medium Risk,2031,4033062221.8387055,9435271516.646862,-5402209294.808157
C003,High Risk,2032,6835031875.322287,13114868914.432877,-6279837039.11059
C003,Low Risk,2032,3230915468.243181,9548330228.101603,-6317414759.858421
C003,Medium Risk,2032,4188940408.9010324,10496366480.930508,-6307426072.029475
C003,High Risk,2033,7535557582.741813,14714227575.318283,-7178669992.57647
C003,Low Risk,2033,3251527229.7458,10475525314.051064,-7223998084.3052635
C003,Medium Risk,2033,4324713051.790251,11537356065.898672,-7212643014.108421
C003,High Risk,2034,8177479650.804676,16254982022.337618,-8077502371.532942
C003,Low Risk,2034,3256235137.288442,11386816298.144756,-8130581160.856314
C003,Medium Risk,2034,4435722877.869469,12553582504.341574,-8117859626.472105
C003,High Risk,2035,8748933255.917727,17725268293.661842,-8976335037.744116
C003,Low Risk,2035,3243515783.981061,12280680145.336325,-9037164361.355263
C003,Medium Risk,2035,4518560181.173686,13541636584.867107,-9023076403.69342
C003,High Risk,2036,9243427058.320005,19118594762.2753,-9875167703.955294
C003,Low Risk,2036,3213881207.973703,13157628769.827913,-9943747561.85421
C003,Medium Risk,2036,4572631449.197904,14500924630.11264,-9928293180.914738
C003,High Risk,2037,9663801870.343048,20437802240.509514,-10774000370.166466
C003,Low Risk,2037,3170588683.3194804,14020919445.672638,-10850330762.353157
C003,Medium Risk,2037,4601487498.718173,15434997456.854225,-10833509958.136051
C003,High Risk,2038,10024014097.104742,21696847573.269447,-11672833476.164705
C003,Low Risk,2038,3119517667.4321213,14876431767.147911,-11756914099.71579
C003,Medium Risk,2038,4613003200.577389,16351730138.322653,-11738726937.745264
C003,High Risk,2039,10346940168.219969,22918605870.808792,-12571665702.588823
C003,Low Risk,2039,3067973598.7757945,15731470762.126846,-12663497163.351051
C003,Medium Risk,2039,4617882193.295249,17261825705.87393,-12643943512.578682
C003,High Risk,2040,10658660614.400063,24129158983.200058,-13470498368.799995
C003,Low Risk,2040,3022862554.040014,16592942917.890013,-13570080363.849998
C003,Medium Risk,2040,4626982463.199992,18176142752.999992,-13549160289.8
C003,High Risk,2041,10982045240.734118,25351376275.745293,-14369331035.011175
C003,Low Risk,2041,2989137777.01053,17465801341.359478,-14476663564.348948
C003,Medium Risk,2041,4648782918.416841,19103159985.438156,-14454377067.021317
C003,High Risk,2042,11332633900.897734,26600797602.120087,-15268163701.222353
C003,Low Risk,2042,2969176813.3889594,18352423578.236855,-15383246764.847895
C003,Medium Risk,2042,4688110775.03632,20047704619.27895,-15359593844.24263
C003,High Risk,2043,11717870323.245909,27884867282.998848,-16166996959.75294
C003,Low Risk,2043,2963091222.161055,19252921337.28737,-16289830115.126314
C003,Medium Risk,2043,4746307155.503694,21011118016.885796,-16264810861.382103
C003,High Risk,2044,12138727591.672909,29204556625.317616,-17065829033.644707
C003,Low Risk,2044,2969511274.8047476,20165924440.650536,-17196413165.845787
C003,Medium Risk,2044,4822238728.771593,21992266127.456856,-17170027398.685263
C003,High Risk,2045,12592165090.832403,30556826790.688286,-17964661699.85588
C003,Low Risk,2045,2986386564.814212,21089382931.15895,-18102996366.344738
C003,Medium Risk,2045,4913462414.469722,22988706590.3763,-18075244175.906578
C003,High Risk,2046,13073286657.307053,31936781023.37411,-18863494366.06706
C003,Low Risk,2046,3011559178.7289567,22021138745.57264,-19009579566.84368
C003,Medium Risk,2046,5017125479.796306,23997586432.9242,-18980460953.12789
C003,High Risk,2047,13576805942.318312,33339132974.596546,-19762327032.278236
C003,Low Risk,2047,3043081546.241579,22959244313.58421,-19916162767.34263
C003,Medium Risk,2047,5130509267.495522,25016186997.844734,-19885677730.349213
C003,High Risk,2048,14097842124.065903,34759002567.40708,-20661160443.34118
C003,Low Risk,2048,3079340404.3810606,23902086534.917904,-20822746130.536842
C003,Medium Risk,2048,5251278472.993685,26042173258.012634,-20790894785.01895
C003,High Risk,2049,14632259002.117023,36192251366.81761,-21559992364.70059
C003,Low Risk,2049,3119070068.79949,24848399237.140015,-21729329168.340523
C003,Medium Risk,2049,5377549980.078163,27073661264.870003,-21696111284.79184
C003,High Risk,2050,15176726708.582397,37635551739.49416,-22458825030.911766
C003,Low Risk,2050,3161311433.4942174,25797223802.33369,-22635912368.839474
C003,Medium Risk,2050,5507864345.644748,28109192407.657906,-22601328062.013157
C003,High Risk,2025,1191179094.873631,1191179094.873631,0.0
C003,Low Risk,2025,2847679075.7794905,2847679075.7794905,0.0
C003,Medium Risk,2025,2889769472.388184,2889769472.388184,0.0
C003,High Risk,2026,2029437474.937667,2916278516.781196,-886841041.8435292
C003,Low Risk,2026,2914797382.423688,3792712939.2884245,-877915556.8647366
C003,Medium Risk,2026,3092370412.447879,3968495821.149458,-876125408.7015791
C003,High Risk,2027,2863593574.8069973,4649267282.861704,-1785673708.0547066
C003,Low Risk,2027,2979907686.498963,4764406443.862647,-1784498757.3636842
C003,Medium Risk,2027,3292392121.7463074,5073734307.669203,-1781342185.9228954
C003,High Risk,2028,3691206149.5741744,6375712658.562408,-2684506508.988234
C003,Low Risk,2028,3042126126.8089495,5733208195.703686,-2691082068.8947363
C003,Medium Risk,2028,3488593800.986315,6175152891.457893,-2686559090.4715786
C003,High Risk,2029,4508609317.062917,8091948357.539976,-3583339040.4770594
C003,Low Risk,2029,3100226843.5510664,6697892001.912645,-3597665158.361579
C003,Medium Risk,2029,3679208054.7686906,7270983795.134217,-3591775740.3655267
C003,High Risk,2030,5310456879.264799,9792628585.953033,-4482171706.688234
C003,Low Risk,2030,3152557167.6805267,7656805526.541054,-4504248358.860527
C003,Medium Risk,2030,3861785073.6868563,8358777591.273699,-4496992517.586843
C003,High Risk,2031,6089251622.46413,11470255995.36354,-5381004372.89941
C003,Low Risk,2031,3196982322.2710648,8607813881.630539,-5410831559.359474
C003,Medium Risk,2031,4033062221.8387055,9435271516.646862,-5402209294.808157
C003,High Risk,2032,6835031875.322287,13114868914.432877,-6279837039.11059
C003,Low Risk,2032,3230915468.243181,9548330228.101603,-6317414759.858421
C003,Medium Risk,2032,4188940408.9010324,10496366480.930508,-6307426072.029475
C003,High Risk,2033,7535557582.741813,14714227575.318283,-7178669992.57647
C003,Low Risk,2033,3251527229.7458,10475525314.051064,-7223998084.3052635
C003,Medium Risk,2033,4324713051.790251,11537356065.898672,-7212643014.108421
C003,High Risk,2034,8177479650.804676,16254982022.337618,-8077502371.532942
C003,Low Risk,2034,3256235137.288442,11386816298.144756,-8130581160.856314
C003,Medium Risk,2034,4435722877.869469,12553582504.341574,-8117859626.472105
C003,High Risk,2035,8748933255.917727,17725268293.661842,-8976335037.744116
C003,Low Risk,2035,3243515783.981061,12280680145.336325,-9037164361.355263
C003,Medium Risk,2035,4518560181.173686,13541636584.867107,-9023076403.69342
C003,High Risk,2036,9243427058.320005,19118594762.2753,-9875167703.955294
C003,Low Risk,2036,3213881207.973703,13157628769.827913,-9943747561.85421
C003,Medium Risk,2036,4572631449.197904,14500924630.11264,-9928293180.914738
C003,High Risk,2037,9663801870.343048,20437802240.509514,-10774000370.166466
C003,Low Risk,2037,3170588683.3194804,14020919445.672638,-10850330762.353157
C003,Medium Risk,2037,4601487498.718173,15434997456.854225,-10833509958.136051
C003,High Risk,2038,10024014097.104742,21696847573.269447,-11672833476.164705
C003,Low Risk,2038,3119517667.4321213,14876431767.147911,-11756914099.71579
C003,Medium Risk,2038,4613003200.577389,16351730138.322653,-11738726937.745264
C003,High Risk,2039,10346940168.219969,22918605870.808792,-12571665702.588823
C003,Low Risk,2039,3067973598.7757945,15731470762.126846,-12663497163.351051
C003,Medium Risk,2039,4617882193.295249,17261825705.87393,-12643943512.578682
C003,High Risk,2040,10658660614.400063,24129158983.200058,-13470498368.799995
C003,Low Risk,2040,3022862554.040014,16592942917.890013,-13570080363.849998
C003,Medium Risk,2040,4626982463.199992,18176142752.999992,-13549160289.8
C003,High Risk,2041,10982045240.734118,25351376275.745293,-14369331035.011175
C003,Low Risk,2041,2989137777.01053,17465801341.359478,-14476663564.348948
C003,Medium Risk,2041,4648782918.416841,19103159985.438156,-14454377067.021317
C003,High Risk,2042,11332633900.897734,26600797602.120087,-15268163701.222353
C003,Low Risk,2042,2969176813.3889594,18352423578.236855,-15383246764.847895
C003,Medium Risk,2042,4688110775.03632,20047704619.27895,-15359593844.24263
C003,High Risk,2043,11717870323.245909,27884867282.998848,-16166996959.75294
C003,Low Risk,2043,2963091222.161055,19252921337.28737,-16289830115.126314
C003,Medium Risk,2043,4746307155.503694,21011118016.885796,-16264810861.382103
C003,High Risk,2044,12138727591.672909,29204556625.317616,-17065829033.644707
C003,Low Risk,2044,2969511274.8047476,20165924440.650536,-17196413165.845787
C003,Medium Risk,2044,4822238728.771593,21992266127.456856,-17170027398.685263
C003,High Risk,2045,12592165090.832403,30556826790.688286,-17964661699.85588
C003,Low Risk,2045,2986386564.814212,21089382931.15895,-18102996366.344738
C003,Medium Risk,2045,4913462414.469722,22988706590.3763,-18075244175.906578
C003,High Risk,2046,13073286657.307053,31936781023.37411,-18863494366.06706
C003,Low Risk,2046,3011559178.7289567,22021138745.57264,-19009579566.84368
C003,Medium Risk,2046,5017125479.796306,23997586432.9242,-18980460953.12789
C003,High Risk,2047,13576805942.318312,33339132974.596546,-19762327032.278236
C003,Low Risk,2047,3043081546.241579,22959244313.58421,-19916162767.34263
C003,Medium Risk,2047,5130509267.495522,25016186997.844734,-19885677730.349213
C003,High Risk,2048,14097842124.065903,34759002567.40708,-20661160443.34118
C003,Low Risk,2048,3079340404.3810606,23902086534.917904,-20822746130.536842
C003,Medium Risk,2048,5251278472.993685,26042173258.012634,-20790894785.01895
C003,High Risk,2049,14632259002.117023,36192251366.81761,-21559992364.70059
C003,Low Risk,2049,3119070068.79949,24848399237.140015,-21729329168.340523
C003,Medium Risk,2049,5377549980.078163,27073661264.870003,-21696111284.79184
C003,High Risk,2050,15176726708.582397,37635551739.49416,-22458825030.911766
C003,Low Risk,2050,3161311433.4942174,25797223802.33369,-22635912368.839474
C003,Medium Risk,2050,5507864345.644748,28109192407.657906,-22601328062.013157
C003,High Risk,2025,1191179094.873631,1191179094.873631,0.0
C003,Low Risk,2025,2847679075.7794905,2847679075.7794905,0.0
C003,Medium Risk,2025,2889769472.388184,2889769472.388184,0.0
C003,High Risk,2026,2029437474.937667,2916278516.781196,-886841041.8435292
C003,Low Risk,2026,2914797382.423688,3792712939.2884245,-877915556.8647366
C003,Medium Risk,2026,3092370412.447879,3968495821.149458,-876125408.7015791
C003,High Risk,2027,2863593574.8069973,4649267282.861704,-1785673708.0547066
C003,Low Risk,2027,2979907686.498963,4764406443.862647,-1784498757.3636842
C003,Medium Risk,2027,3292392121.7463074,5073734307.669203,-1781342185.9228954
C003,High Risk,2028,3691206149.5741744,6375712658.562408,-2684506508.988234
C003,Low Risk,2028,3042126126.8089495,5733208195.703686,-2691082068.8947363
C003,Medium Risk,2028,3488593800.986315,6175152891.457893,-2686559090.4715786
C003,High Risk,2029,4508609317.062917,8091948357.539976,-3583339040.4770594
C003,Low Risk,2029,3100226843.5510664,6697892001.912645,-3597665158.361579
C003,Medium Risk,2029,3679208054.7686906,7270983795.134217,-3591775740.3655267
C003,High Risk,2030,5310456879.264799,9792628585.953033,-4482171706.688234
C003,Low Risk,2030,3152557167.6805267,7656805526.541054,-4504248358.860527
C003,Medium Risk,2030,3861785073.6868563,8358777591.273699,-4496992517.586843
C003,High Risk,2031,6089251622.46413,11470255995.36354,-5381004372.89941
C003,Low Risk,2031,3196982322.2710648,8607813881.630539,-5410831559.359474
C003,Medium Risk,2031,4033062221.8387055,9435271516.646862,-5402209294.808157
C003,High Risk,2032,6835031875.322287,13114868914.432877,-6279837039.11059
C003,Low Risk,2032,3230915468.243181,9548330228.101603,-6317414759.858421
C003,Medium Risk,2032,4188940408.9010324,10496366480.930508,-6307426072.029475
C003,High Risk,2033,7535557582.741813,14714227575.318283,-7178669992.57647
C003,Low Risk,2033,3251527229.7458,10475525314.051064,-7223998084.3052635
C003,Medium Risk,2033,4324713051.790251,11537356065.898672,-7212643014.108421
C003,High Risk,2034,8177479650.804676,16254982022.337618,-8077502371.532942
C003,Low Risk,2034,3256235137.288442,11386816298.144756,-8130581160.856314
C003,Medium Risk,2034,4435722877.869469,12553582504.341574,-8117859626.472105
C003,High Risk,2035,8748933255.917727,17725268293.661842,-8976335037.744116
C003,Low Risk,2035,3243515783.981061,12280680145.336325,-9037164361.355263
C003,Medium Risk,2035,4518560181.173686,13541636584.867107,-9023076403.69342
C003,High Risk,2036,9243427058.320005,19118594762.2753,-9875167703.955294
C003,Low Risk,2036,3213881207.973703,13157628769.827913,-9943747561.85421
C003,Medium Risk,2036,4572631449.197904,14500924630.11264,-9928293180.914738
C003,High Risk,2037,9663801870.343048,20437802240.509514,-10774000370.166466
C003,Low Risk,2037,3170588683.3194804,14020919445.672638,-10850330762.353157
C003,Medium Risk,2037,4601487498.718173,15434997456.854225,-10833509958.136051
C003,High Risk,2038,10024014097.104742,21696847573.269447,-11672833476.164705
C003,Low Risk,2038,3119517667.4321213,14876431767.147911,-11756914099.71579
C003,Medium Risk,2038,4613003200.577389,16351730138.322653,-11738726937.745264
C003,High Risk,2039,10346940168.219969,22918605870.808792,-12571665702.588823
C003,Low Risk,2039,3067973598.7757945,15731470762.126846,-12663497163.351051
C003,Medium Risk,2039,4617882193.295249,17261825705.87393,-12643943512.578682
C003,High Risk,2040,10658660614.400063,24129158983.200058,-13470498368.799995
C003,Low Risk,2040,3022862554.040014,16592942917.890013,-13570080363.849998
C003,Medium Risk,2040,4626982463.199992,18176142752.999992,-13549160289.8
C003,High Risk,2041,10982045240.734118,25351376275.745293,-14369331035.011175
C003,Low Risk,2041,2989137777.01053,17465801341.359478,-14476663564.348948
C003,Medium Risk,2041,4648782918.416841,19103159985.438156,-14454377067.021317
C003,High Risk,2042,11332633900.897734,26600797602.120087,-15268163701.222353
C003,Low Risk,2042,2969176813.3889594,18352423578.236855,-15383246764.847895
C003,Medium Risk,2042,4688110775.03632,20047704619.27895,-15359593844.24263
C003,High Risk,2043,11717870323.245909,27884867282.998848,-16166996959.75294
C003,Low Risk,2043,2963091222.161055,19252921337.28737,-16289830115.126314
C003,Medium Risk,2043,4746307155.503694,21011118016.885796,-16264810861.382103
C003,High Risk,2044,12138727591.672909,29204556625.317616,-17065829033.644707
C003,Low Risk,2044,2969511274.8047476,20165924440.650536,-17196413165.845787
C003,Medium Risk,2044,4822238728.771593,21992266127.456856,-17170027398.685263
C003,High Risk,2045,12592165090.832403,30556826790.688286,-17964661699.85588
C003,Low Risk,2045,2986386564.814212,21089382931.15895,-18102996366.344738
C003,Medium Risk,2045,4913462414.469722,22988706590.3763,-18075244175.906578
C003,High Risk,2046,13073286657.307053,31936781023.37411,-18863494366.06706
C003,Low Risk,2046,3011559178.7289567,22021138745.57264,-19009579566.84368
C003,Medium Risk,2046,5017125479.796306,23997586432.9242,-18980460953.12789
C003,High Risk,2047,13576805942.318312,33339132974.596546,-19762327032.278236
C003,Low Risk,2047,3043081546.241579,22959244313.58421,-19916162767.34263
C003,Medium Risk,2047,5130509267.495522,25016186997.844734,-19885677730.349213
C003,High Risk,2048,14097842124.065903,34759002567.40708,-20661160443.34118
C003,Low Risk,2048,3079340404.3810606,23902086534.917904,-20822746130.536842
C003,Medium Risk,2048,5251278472.993685,26042173258.012634,-20790894785.01895
C003,High Risk,2049,14632259002.117023,36192251366.81761,-21559992364.70059
C003,Low Risk,2049,3119070068.79949,24848399237.140015,-21729329168.340523
C003,Medium Risk,2049,5377549980.078163,27073661264.870003,-21696111284.79184
C003,High Risk,2050,15176726708.582397,37635551739.49416,-22458825030.911766
C003,Low Risk,2050,3161311433.4942174,25797223802.33369,-22635912368.839474
C003,Medium Risk,2050,5507864345.644748,28109192407.657906,-22601328062.013157
C004,High Risk,2025,,,
C004,Low Risk,2025,,,
C004,Medium Risk,2025,,,
C004,High Risk,2026,,,
C004,Low Risk,2026,,,
C004,Medium Risk,2026,,,
C004,High Risk,2027,,,
C004,Low Risk,2027,,,
C004,Medium Risk,2027,,,
C004,High Risk,2028,,,
C004,Low Risk,2028,,,
C004,Medium Risk,2028,,,
C004,High Risk,2029,,,
C004,Low Risk,2029,,,
C004,Medium Risk,2029,,,
C004,High Risk,2030,,,
C004,Low Risk,2030,,,
C004,Medium Risk,2030,,,
C004,High Risk,2031,,,
C004,Low Risk,2031,,,
C004,Medium Risk,2031,,,
C004,High Risk,2032,,,
C004,Low Risk,2032,,,
C004,Medium Risk,2032,,,
C004,High Risk,2033,,,
C004,Low Risk,2033,,,
C004,Medium Risk,2033,,,
C004,High Risk,2034,,,
C004,Low Risk,2034,,,
C004,Medium Risk,2034,,,
C004,High Risk,2035,,,
C004,Low Risk,2035,,,
C004,Medium Risk,2035,,,
C004,High Risk,2036,,,
C004,Low Risk,2036,,,
C004,Medium Risk,2036,,,
C004,High Risk,2037,,,
C004,Low Risk,2037,,,
C004,Medium Risk,2037,,,
C004,High Risk,2038,,,
C004,Low Risk,2038,,,
C004,Medium Risk,2038,,,
C004,High Risk,2039,,,
C004,Low Risk,2039,,,
C004,Medium Risk,2039,,,
C004,High Risk,2040,,,
C004,Low Risk,2040,,,
C004,Medium Risk,2040,,,
C004,High Risk,2041,,,
C004,Low Risk,2041,,,
C004,Medium Risk,2041,,,
C004,High Risk,2042,,,
C004,Low Risk,2042,,,
C004,Medium Risk,2042,,,
C004,High Risk,2043,,,
C004,Low Risk,2043,,,
C004,Medium Risk,2043,,,
C004,High Risk,2044,,,
C004,Low Risk,2044,,,
C004,Medium Risk,2044,,,
C004,High Risk,2045,,,
C004,Low Risk,2045,,,
C004,Medium Risk,2045,,,
C004,High Risk,2046,,,
C004,Low Risk,2046,,,
C004,Medium Risk,2046,,,
C004,High Risk,2047,,,
C004,Low Risk,2047,,,
C004,Medium Risk,2047,,,
C004,High Risk,2048,,,
C004,Low Risk,2048,,,
C004,Medium Risk,2048,,,
C004,High Risk,2049,,,
C004,Low Risk,2049,,,
C004,Medium Risk,2049,,,
C004,High Risk,2050,,,
C004,Low Risk,2050,,,
C004,Medium Risk,2050,,,
C004,High Risk,2025,,,
C004,Low Risk,2025,,,
C004,Medium Risk,2025,,,
C004,High Risk,2026,,,
C004,Low Risk,2026,,,
C004,Medium Risk,2026,,,
C004,High Risk,2027,,,
C004,Low Risk,2027,,,
C004,Medium Risk,2027,,,
C004,High Risk,2028,,,
C004,Low Risk,2028,,,
C004,Medium Risk,2028,,,
C004,High Risk,2029,,,
C004,Low Risk,2029,,,
C004,Medium Risk,2029,,,
C004,High Risk,2030,,,
C004,Low Risk,2030,,,
C004,Medium Risk,2030,,,
C004,High Risk,2031,,,
C004,Low Risk,2031,,,
C004,Medium Risk,2031,,,
C004,High Risk,2032,,,
C004,Low Risk,2032,,,
C004,Medium Risk,2032,,,
C004,High Risk,2033,,,
C004,Low Risk,2033,,,
C004,Medium Risk,2033,,,
C004,High Risk,2034,,,
C004,Low Risk,2034,,,
C004,Medium Risk,2034,,,
C004,High Risk,2035,,,
C004,Low Risk,2035,,,
C004,Medium Risk,2035,,,
C004,High Risk,2036,,,
C004,Low Risk,2036,,,
C004,Medium Risk,2036,,,
C004,High Risk,2037,,,
C004,Low Risk,2037,,,
C004,Medium Risk,2037,,,
C004,High Risk,2038,,,
C004,Low Risk,2038,,,
C004,Medium Risk,2038,,,
C004,High Risk,2039,,,
C004,Low Risk,2039,,,
C004,Medium Risk,2039,,,
C004,High Risk,2040,,,
C004,Low Risk,2040,,,
C004,Medium Risk,2040,,,
C004,High Risk,2041,,,
C004,Low Risk,2041,,,
C004,Medium Risk,2041,,,
C004,High Risk,2042,,,
C004,Low Risk,2042,,,
C004,Medium Risk,2042,,,
C004,High Risk,2043,,,
C004,Low Risk,2043,,,
C004,Medium Risk,2043,,,
C004,High Risk,2044,,,
C004,Low Risk,2044,,,
C004,Medium Risk,2044,,,
C004,High Risk,2045,,,
C004,Low Risk,2045,,,
C004,Medium Risk,2045,,,
C004,High Risk,2046,,,
C004,Low Risk,2046,,,
C004,Medium Risk,2046,,,
C004,High Risk,2047,,,
C004,Low Risk,2047,,,
C004,Medium Risk,2047,,,
C004,High Risk,2048,,,
C004,Low Risk,2048,,,
C004,Medium Risk,2048,,,
C004,High Risk,2049,,,
C004,Low Risk,2049,,,
C004,Medium Risk,2049,,,
C004,High Risk,2050,,,
C004,Low Risk,2050,,,
C004,Medium Risk,2050,,,
C004,High Risk,2025,,,
C004,Low Risk,2025,,,
C004,Medium Risk,2025,,,
C004,High Risk,2026,,,
C004,Low Risk,2026,,,
C004,Medium Risk,2026,,,
C004,High Risk,2027,,,
C004,Low Risk,2027,,,
C004,Medium Risk,2027,,,
C004,High Risk,2028,,,
C004,Low Risk,2028,,,
C004,Medium Risk,2028,,,
C004,High Risk,2029,,,
C004,Low Risk,2029,,,
C004,Medium Risk,2029,,,
C004,High Risk,2030,,,
C004,Low Risk,2030,,,
C004,Medium Risk,2030,,,
C004,High Risk,2031,,,
C004,Low Risk,2031,,,
C004,Medium Risk,2031,,,
C004,High Risk,2032,,,
C004,Low Risk,2032,,,
C004,Medium Risk,2032,,,
C004,High Risk,2033,,,
C004,Low Risk,2033,,,
C004,Medium Risk,2033,,,
C004,High Risk,2034,,,
C004,Low Risk,2034,,,
C004,Medium Risk,2034,,,
C004,High Risk,2035,,,
C004,Low Risk,2035,,,
C004,Medium Risk,2035,,,
C004,High Risk,2036,,,
C004,Low Risk,2036,,,
C004,Medium Risk,2036,,,
C004,High Risk,2037,,,
C004,Low Risk,2037,,,
C004,Medium Risk,2037,,,
C004,High Risk,2038,,,
C004,Low Risk,2038,,,
C004,Medium Risk,2038,,,
C004,High Risk,2039,,,
C004,Low Risk,2039,,,
C004,Medium Risk,2039,,,
C004,High Risk,2040,,,
C004,Low Risk,2040,,,
C004,Medium Risk,2040,,,
C004,High Risk,2041,,,
C004,Low Risk,2041,,,
C004,Medium Risk,2041,,,
C004,High Risk,2042,,,
C004,Low Risk,2042,,,
C004,Medium Risk,2042,,,
C004,High Risk,2043,,,
C004,Low Risk,2043,,,
C004,Medium Risk,2043,,,
C004,High Risk,2044,,,
C004,Low Risk,2044,,,
C004,Medium Risk,2044,,,
C004,High Risk,2045,,,
C004,Low Risk,2045,,,
C004,Medium Risk,2045,,,
C004,High Risk,2046,,,
C004,Low Risk,2046,,,
C004,Medium Risk,2046,,,
C004,High Risk,2047,,,
C004,Low Risk,2047,,,
C004,Medium Risk,2047,,,
C004,High Risk,2048,,,
C004,Low Risk,2048,,,
C004,Medium Risk,2048,,,
C004,High Risk,2049,,,
C004,Low Risk,2049,,,
C004,Medium Risk,2049,,,
C004,High Risk,2050,,,
C004,Low Risk,2050,,,
C004,Medium Risk,2050,,,
C004,High Risk,2025,,,
C004,Low Risk,2025,,,
C004,Medium Risk,2025,,,
C004,High Risk,2026,,,
C004,Low Risk,2026,,,
C004,Medium Risk,2026,,,
C004,High Risk,2027,,,
C004,Low Risk,2027,,,
C004,Medium Risk,2027,,,
C004,High Risk,2028,,,
